request_id,estimated_ttft,current_time,estimated_completion_time,deadline,time_until_deadline,slack,remaining_prefill_tokens,queue_position,ahead_prefill_tokens,is_violation,actual_ttft,absolute_error,relative_error,percent_error
149,76.6777369253552,16.490627622577982,93.16836454793318,1000016.3675839932,999999.8769563708,999923.1992194452,5939,136,1895067,False,121.889676,45.21193907464479,0.3709250902811883,37.09250902811883
150,76.88344719576956,16.490627622577982,93.37407481834754,1000016.3703151232,999999.8796875008,999922.996240305,5100,137,1901006,False,122.168272,45.28482480423044,0.37067582329584264,37.06758232958426
151,77.00836576586237,16.664506380643548,93.67287214650592,1000016.5891125128,999999.924606132,999922.916240366,9421,137,1899782,False,122.545,45.53663423413764,0.3715911235394152,37.159112353941524
152,77.0965791700577,16.91114310050859,94.00772227056628,1000016.872226445,999999.9610833444,999922.8645041744,2187,138,1909203,False,122.370859,45.2742798299423,0.36997599101549417,36.99759910154942
153,77.528328725845,16.91114310050859,94.43947182635358,1000016.8911155164,999999.9799724158,999922.45164369,10704,139,1911390,False,122.854181,45.325852274155,0.3689402501828977,36.894025018289774
154,77.82467252128309,17.02086847998692,94.84554100127,1000016.9920551876,999999.9711867076,999922.1465141862,9359,139,1920082,False,123.364633,45.53996047871691,0.3691492397072742,36.91492397072742
155,77.86403982009179,17.02086847998692,94.8849083000787,1000017.006422038,999999.985553558,999922.121513738,976,140,1929441,False,123.403099,45.53905917990821,0.36902686844119054,36.90268684411905
156,78.32370143610002,17.166576823537667,95.49027825963768,1000017.1458562792,999999.9792794556,999921.6555780196,18720,140,1923093,False,124.502387,46.178685563899975,0.3709060257929029,37.09060257929029
157,78.40501749593442,17.215397978053364,95.62041547398778,1000017.18713367,999999.971735692,999921.566718196,2016,141,1941813,False,124.566589,46.16157150406558,0.37057747085027415,37.057747085027415
158,78.66937536109043,17.371170888748953,96.04054624983938,1000017.321772791,999999.9506019022,999921.2812265411,6554,142,1943829,False,124.827264,46.15788863890957,0.3697740954965541,36.97740954965541
159,78.32648457505269,17.53097443180477,95.85745900685744,1000017.4840557604,999999.9530813288,999921.6265967536,917,142,1940965,False,124.717723,46.39123842494732,0.37196989576972406,37.196989576972406
160,78.55567001750256,17.68391835121228,96.23958836871483,1000017.6670323508,999999.9831139996,999921.427443982,5682,143,1941882,False,124.810458,46.25478798249743,0.3706002583733603,37.06002583733603
161,78.63238784776298,17.68391835121228,96.31630619897528,1000017.681282197,999999.9973638458,999921.364975998,1902,144,1947564,False,124.900022,46.26763415223702,0.37043735790724697,37.043735790724696
162,78.1331169208632,18.017572311911344,96.15068923277454,1000017.9909171348,999999.973344823,999921.8402279022,1383,143,1935705,False,124.694501,46.5613840791368,0.37340366821097265,37.34036682109726
163,78.16913638585929,18.06484236514796,96.23397875100724,1000018.023622474,999999.958780109,999921.789643723,893,144,1937088,False,124.714971,46.545834614140716,0.3732176998553022,37.32176998553022
164,78.6282736423547,18.06484236514796,96.69311600750264,1000018.0283887698,999999.9635464048,999921.3352727623,11383,145,1937981,False,125.367985,46.739711357645305,0.37282015306894584,37.282015306894586
165,78.73786478053427,18.16482450035048,96.90268928088474,1000018.12955746,999999.9647329598,999921.2268681792,2717,146,1949364,False,125.426261,46.68839621946573,0.3722378060800659,37.22378060800659
166,79.25613365593702,18.217202801129336,97.47333645706637,1000018.1874950196,999999.9702922184,999920.7141585624,12849,147,1952081,False,126.161557,46.90542334406298,0.3717885579365748,37.178855793657476
167,80.05791968638732,18.44099331742969,98.498913003817,1000018.4088351196,999999.9678418022,999919.9099221156,19878,148,1964930,False,127.252936,47.19501631361268,0.37087565754563556,37.087565754563556
168,80.09401982207768,18.624742060130764,98.71876188220844,1000018.615281434,999999.990539374,999919.896519552,895,149,1984808,False,127.098804,47.00478417792232,0.3698286899530724,36.982868995307236
169,80.8323986868238,18.688606745766613,99.5210054325904,1000018.6629644088,999999.974357663,999919.1419589762,18306,150,1985703,False,128.288725,47.456326313176206,0.369918138271124,36.9918138271124
170,80.87817930582779,19.06455649596987,99.94273580179764,1000019.0379644088,999999.9734079128,999919.095228607,21641,150,1983503,False,129.413805,48.53562569417221,0.3750421038479798,37.50421038479798
171,81.1646812765637,19.121532065333568,100.28621334189728,1000019.0809373932,999999.9594053278,999918.7947240511,7103,151,2005144,False,129.771498,48.60681672343631,0.37455695181569304,37.455695181569304
172,81.22635402234086,19.18000708950504,100.4063611118459,1000019.1714029164,999999.9913958268,999918.7650418044,1529,152,2012247,False,129.78704,48.56068597765913,0.3741566644686491,37.41566644686491
173,81.66754204935894,19.240085339369152,100.90762738872807,1000019.208361332,999999.9682759924,999918.3007339432,10938,153,2013776,False,130.415603,48.74806095064106,0.37379009742140334,37.37900974214033
174,82.14971078907134,19.56292999138932,101.71264078046066,1000019.5520554832,999999.9891254916,999917.8394147026,11954,154,2024714,False,130.269322,48.11961121092865,0.3693855964870122,36.93855964870122
175,82.18919909392146,19.632121327585786,101.82132042150724,1000019.5745372312,999999.9424159036,999917.7532168096,979,155,2036668,False,130.314744,48.12554490607853,0.3693023784482785,36.93023784482785
176,82.48953608872642,19.632121327585786,102.1216574163122,1000019.5802810251,999999.9481596976,999917.4586236088,7446,156,2037647,False,130.765714,48.27617791127358,0.3691807006175455,36.91807006175455
177,82.53281591620771,19.70296543911197,102.23578135531967,1000019.651668694,999999.9487032548,999917.4158873386,1073,157,2045093,False,130.747286,48.21447008379229,0.36876077170574917,36.876077170574916
178,82.4402866298684,20.04851363298235,102.48880026285076,1000020.026668694,999999.9781550608,999917.5378684312,14315,157,2029557,False,130.405927,47.965640370131595,0.3678179471867993,36.781794718679926
181,90.2493308422273,20.80506986986471,111.054400712092,1000020.75390464,999999.94883477,999909.6995039276,15233,160,2222242,False,131.534921,41.2855901577727,0.31387550806962283,31.387550806962285
182,89.59440581071398,21.03993359085555,110.63433940156952,1000021.0337933128,999999.993859722,999910.3994539112,10116,160,2211122,False,131.692909,42.098503189286006,0.31967175384732377,31.96717538473238
183,89.79144398149323,21.140672231150948,110.93211621264416,1000021.1252425108,999999.9845702796,999910.193126298,4885,161,2221238,False,131.730439,41.93899501850676,0.3183698113881391,31.836981138813908
184,89.97605886535332,21.19347049818413,111.16952936353744,1000021.172704216,999999.9792337175,999910.0031748523,4577,162,2226123,False,132.127106,42.151047134646674,0.31901892360108663,31.901892360108665
