Time (sec),request_completion,replica
142.01215184194805,106,2
146.5775827267171,107,2
150.9112079182754,108,2
154.18746564580465,109,2
158.3947683329926,110,2
158.78661591715667,111,2
158.84834636725944,112,2
159.87731119510747,113,2
160.22649766302013,114,2
160.8187615905897,115,2
162.17045871435496,116,2
162.64993967837736,117,2
162.70113807344015,118,2
163.50296698812704,119,2
165.8439895175686,120,2
167.23243883109546,121,2
167.2947333355773,122,2
167.87871446337516,123,2
167.89578608699435,124,2
168.70115611346762,125,2
168.76565726713545,126,2
169.52667978225554,127,2
169.75600972106693,128,2
12.994530742648767,1,3
17.792011416460266,2,3
22.025496662352623,3,3
22.025496662352623,4,3
22.522300399019457,5,3
26.21885630414936,6,3
26.29041999687614,7,3
27.007663655444418,8,3
28.300547990784768,9,3
29.191441184457176,10,3
29.291587924351955,11,3
31.520152155042272,12,3
33.3056490250747,13,3
33.83601071286399,14,3
35.63783202471646,15,3
36.938912617904236,16,3
38.943570403787234,17,3
39.67123416955053,18,3
42.47071002398128,19,3
45.171963621656175,20,3
51.029880872357715,21,3
53.43148014810565,22,3
53.66855763030876,23,3
53.66855763030876,24,3
53.996948531446655,25,3
54.97675058952111,26,3
64.95367942201624,27,3
65.69148291144158,28,3
66.41432073491048,29,3
67.54169270843128,30,3
69.8415176722505,31,3
71.02914634097647,32,3
71.9523432950147,33,3
73.29653520810184,34,3
76.94063516238245,35,3
77.3701660899065,36,3
78.31684496847915,37,3
79.46228445260117,38,3
80.31561823136147,39,3
81.96183986886415,40,3
82.01753039013492,41,3
82.9099689730093,42,3
82.94846135907555,43,3
84.1825961428181,44,3
88.12222751219542,45,3
89.04309964498518,46,3
90.15517923437842,47,3
93.51118619976866,48,3
94.49124503747267,49,3
94.98684518372852,50,3
95.23807007789962,51,3
96.32258531770624,52,3
96.46992302491519,53,3
96.82483919881189,54,3
97.98143554525144,55,3
98.94885199464007,56,3
99.1090900603404,57,3
99.22122703196996,58,3
107.1498324059338,59,3
108.08233698279213,60,3
108.65066503256516,61,3
108.8599651074449,62,3
108.99027739709047,63,3
109.23485653091417,64,3
109.62299989883145,65,3
110.01729601019107,66,3
110.31506514465481,67,3
110.68004801883949,68,3
110.86708319173982,69,3
111.13755983682293,70,3
113.19030857124913,71,3
114.17124669778495,72,3
115.72602237515027,73,3
115.96110084447122,74,3
116.997899444443,75,3
119.30131606401636,76,3
122.17835425979884,77,3
123.45752762350929,78,3
125.36733864383163,79,3
125.77363395493511,80,3
125.86948596954528,81,3
127.38024044875735,82,3
127.4934364739549,83,3
128.01682093672915,84,3
128.6609811303923,85,3
128.87742875189605,86,3
130.2225234312709,87,3
130.31507250520906,88,3
130.79557928972048,89,3
132.27522186895527,90,3
135.10176832337112,91,3
136.97483406793677,92,3
138.47783171644795,93,3
138.47783171644795,94,3
139.9852703315216,95,3
140.27898840424353,96,3
140.71282664100642,97,3
140.93865263853755,98,3
142.03797305671222,99,3
142.62697632456982,100,3
143.2357679891544,101,3
144.27925939411793,102,3
145.25617257361833,103,3
145.53241036148543,104,3
146.02671362175462,105,3
146.76055683078678,106,3
147.1621327402354,107,3
151.54589775511786,108,3
151.7364939354696,109,3
151.91604456129795,110,3
153.39671500407866,111,3
154.12672729803344,112,3
154.4042649591855,113,3
154.94589821361146,114,3
155.26758510597844,115,3
155.80100128939642,116,3
155.86008159119035,117,3
156.12061513350997,118,3
156.23928573890518,119,3
156.67975903682046,120,3
157.19179654516296,121,3
157.2254454947228,122,3
157.9960974930885,123,3
158.35743605738318,124,3
158.5568338108496,125,3
159.08049758356722,126,3
160.14405574601986,127,3
163.71720531701365,128,3
