cdf,request_execution_time_normalized,replica
0.61,0.023344687081793266,2
0.62,0.023396844483091955,2
0.63,0.023449001884390648,2
0.64,0.02350115928568934,2
0.65,0.02355331668698803,2
0.66,0.023605474088286723,2
0.67,0.023665210367929217,2
0.68,0.023740104404259322,2
0.6900000000000001,0.023814998440589426,2
0.7000000000000001,0.02388989247691953,2
0.71,0.023964786513249636,2
0.72,0.02403968054957974,2
0.73,0.024114574585909845,2
0.74,0.024161464065281767,2
0.75,0.024194351266174603,2
0.76,0.024227238467067435,2
0.77,0.02426012566796027,2
0.78,0.024293012868853103,2
0.79,0.02432590006974594,2
0.8,0.02435878727063877,2
0.81,0.024611892224985395,2
0.8200000000000001,0.024864997179332018,2
0.8300000000000001,0.02511810213367864,2
0.84,0.025371207088025264,2
0.85,0.025624312042371887,2
0.86,0.025877416996718514,2
0.87,0.026789563755847505,2
0.88,0.029019794124541184,2
0.89,0.03125002449323489,2
0.9,0.0334802548619286,2
0.91,0.035710485230622306,2
0.92,0.03794071559931601,2
0.93,0.04017094596800972,2
0.9400000000000001,0.04135992688477011,2
0.9500000000000001,0.04202828307556386,2
0.96,0.04269663926635761,2
0.97,0.04336499545715136,2
0.98,0.04403335164794512,2
0.99,0.04470170783873887,2
1.0,0.04537006402953263,2
0.0,0.02200800763228287,3
0.01,0.022682188950071003,3
0.02,0.02335637026785914,3
0.03,0.02403055158564727,3
0.04,0.024704732903435403,3
0.05,0.025378914221223535,3
0.06,0.02605309553901167,3
0.07,0.026514065686038882,3
0.08,0.02654861349154425,3
0.09,0.02658316129704962,3
0.1,0.026617709102554985,3
0.11,0.026652256908060352,3
0.12,0.026686804713565722,3
0.13,0.02672135251907109,3
0.14,0.026801152922507405,3
0.15,0.02690357962490919,3
0.16,0.02700600632731098,3
0.17,0.027108433029712768,3
0.18,0.027210859732114557,3
0.19,0.027313286434516346,3
0.2,0.027415713136918134,3
0.21,0.028257638051393568,3
0.22,0.029099562965869005,3
0.23,0.029941487880344442,3
0.24,0.030783412794819876,3
0.25,0.03162533770929531,3
0.26,0.03246726262377075,3
0.27,0.03308106800607793,3
0.28,0.0332386343240486,3
0.29,0.03339620064201927,3
0.3,0.03355376695998995,3
0.31,0.03371133327796062,3
0.32,0.03386889959593129,3
0.33,0.03402646591390197,3
0.34,0.03408338194368048,3
0.35000000000000003,0.03408997282936291,3
0.36,0.03409656371504534,3
0.37,0.03410315460072776,3
0.38,0.034109745486410194,3
0.39,0.034116336372092625,3
0.4,0.034122927257775056,3
0.41000000000000003,0.03448174093354808,3
0.42,0.0348405546093211,3
0.43,0.03519936828509413,3
0.44,0.03555818196086716,3
0.45,0.03591699563664018,3
0.46,0.036275809312413206,3
0.47000000000000003,0.03652394378633795,3
0.48,0.03655071985656611,3
0.49,0.03657749592679428,3
0.5,0.036604271997022444,3
0.51,0.036631048067250614,3
0.52,0.036657824137478784,3
0.53,0.03668460020770695,3
0.54,0.03674359668033094,3
0.55,0.03681870335415285,3
0.56,0.03689381002797475,3
0.5700000000000001,0.03696891670179665,3
0.58,0.03704402337561856,3
0.59,0.03711913004944046,3
0.6,0.037194236723262365,3
0.61,0.037297522263476844,3
0.62,0.037400807803691316,3
0.63,0.037504093343905795,3
0.64,0.037607378884120274,3
0.65,0.037710664424334746,3
0.66,0.037813949964549225,3
0.67,0.037887230843041235,3
0.68,0.0379005023980883,3
0.6900000000000001,0.03791377395313537,3
0.7000000000000001,0.03792704550818244,3
0.71,0.037940317063229506,3
0.72,0.03795358861827658,3
0.73,0.037966860173323645,3
0.74,0.037980208294655184,3
0.75,0.037993594699128955,3
0.76,0.038006981103602726,3
0.77,0.0380203675080765,3
0.78,0.03803375391255027,3
0.79,0.03804714031702404,3
0.8,0.03806052672149781,3
0.81,0.04021760524951085,3
0.8200000000000001,0.04237468377752386,3
0.8300000000000001,0.044531762305536904,3
0.84,0.04668884083354995,3
0.85,0.04884591936156298,3
0.86,0.051002997889576025,3
0.87,0.05278839611649529,3
0.88,0.05383043374122701,3
0.89,0.05487247136595874,3
0.9,0.055914508990690476,3
0.91,0.0569565466154222,3
0.92,0.05799858424015394,3
0.93,0.05904062186488567,3
0.9400000000000001,0.06249934526157726,3
0.9500000000000001,0.06716641154424882,3
0.96,0.07183347782692032,3
0.97,0.07650054410959188,3
0.98,0.08116761039226345,3
0.99,0.085834676674935,3
1.0,0.09050174295760656,3
0.0,0.009508984235178616,4
0.01,0.009697865950387328,4
0.02,0.009886747665596038,4
0.03,0.01007562938080475,4
0.04,0.01026451109601346,4
0.05,0.010453392811222172,4
0.06,0.010642274526430882,4
0.07,0.010839743115262753,4
0.08,0.011054385451340947,4
0.09,0.01126902778741914,4
0.1,0.011483670123497332,4
0.11,0.011698312459575524,4
0.12,0.011912954795653716,4
0.13,0.01212759713173191,4
0.14,0.012236345789124449,4
0.15,0.012292147607174161,4
0.16,0.012347949425223876,4
0.17,0.012403751243273588,4
0.18,0.0124595530613233,4
0.19,0.012515354879373015,4
0.2,0.012571156697422727,4
0.21,0.012670090455097285,4
0.22,0.012769024212771842,4
0.23,0.0128679579704464,4
0.24,0.012966891728120955,4
0.25,0.013065825485795513,4
0.26,0.01316475924347007,4
0.27,0.013272056448974098,4
0.28,0.013396080550137064,4
0.29,0.013520104651300031,4
0.3,0.013644128752462998,4
0.31,0.013768152853625966,4
0.32,0.013892176954788933,4
0.33,0.014016201055951898,4
0.34,0.014153404757307546,4
0.35000000000000003,0.01429719825875953,4
0.36,0.014440991760211516,4
0.37,0.014584785261663501,4
0.38,0.014728578763115487,4
0.39,0.014872372264567472,4
0.4,0.015016165766019458,4
0.41000000000000003,0.015046332478211532,4
0.42,0.015076499190403608,4
0.43,0.015106665902595684,4
0.44,0.015136832614787758,4
0.45,0.015166999326979834,4
0.46,0.015197166039171909,4
0.47000000000000003,0.01523675924241445,4
0.48,0.015295205427757924,4
0.49,0.015353651613101397,4
0.5,0.015412097798444869,4
0.51,0.015470543983788342,4
0.52,0.015528990169131816,4
0.53,0.015587436354475289,4
0.54,0.015615321735113796,4
0.55,0.01562792671339982,4
0.56,0.015640531691685843,4
0.5700000000000001,0.015653136669971864,4
0.58,0.01566574164825789,4
0.59,0.01567834662654391,4
0.6,0.015690951604829934,4
0.61,0.01582987597821284,4
0.62,0.015968800351595747,4
0.63,0.016107724724978654,4
0.64,0.01624664909836156,4
0.65,0.016385573471744467,4
0.66,0.016524497845127373,4
0.67,0.016699572387010874,4
0.68,0.016946947265895553,4
0.6900000000000001,0.01719432214478023,4
0.7000000000000001,0.017441697023664913,4
0.71,0.01768907190254959,4
0.72,0.017936446781434273,4
0.73,0.01818382166031895,4
0.74,0.021542164868255567,4
0.75,0.02645599224071818,4
0.76,0.03136981961318079,4
0.77,0.0362836469856434,4
0.78,0.041197474358106015,4
0.79,0.04611130173056863,4
0.8,0.05102512910303118,4
0.81,0.051373161805023715,4
0.8200000000000001,0.05172119450701624,4
0.8300000000000001,0.05206922720900877,4
0.84,0.0524172599110013,4
0.85,0.052765292612993835,4
0.86,0.053113325314986366,4
0.87,0.05671476621176138,4
0.88,0.06682302349810114,4
0.89,0.07693128078444102,4
0.9,0.08703953807078088,4
0.91,0.09714779535712076,4
0.92,0.10725605264346064,4
0.93,0.1173643099298005,4
0.9400000000000001,0.1509298023158702,4
0.9500000000000001,0.1962239122518052,4
0.96,0.24151802218773966,4
0.97,0.2868121321236746,4
0.98,0.3321062420596096,4
0.99,0.3774003519955446,4
1.0,0.4226944619314796,4
0.0,0.008902414320604781,5
0.01,0.00894024830174195,5
0.02,0.00897808228287912,5
0.03,0.009015916264016289,5
0.04,0.009053750245153456,5
0.05,0.009091584226290625,5
0.06,0.009129418207427794,5
0.07,0.009159983073538274,5
0.08,0.009176009709595381,5
0.09,0.009192036345652486,5
0.1,0.009208062981709592,5
0.11,0.009224089617766697,5
0.12,0.009240116253823802,5
0.13,0.009256142889880909,5
0.14,0.009296092984716562,5
0.15,0.00934800480894149,5
0.16,0.00939991663316642,5
0.17,0.009451828457391348,5
0.18,0.009503740281616276,5
0.19,0.009555652105841205,5
0.2,0.009607563930066133,5
0.21,0.009771865064184074,5
0.22,0.009936166198302013,5
0.23,0.010100467332419955,5
0.24,0.010264768466537894,5
0.25,0.010429069600655835,5
0.26,0.010593370734773776,5
0.27,0.01075643258609126,5
0.28,0.010917015871807833,5
0.29,0.011077599157524405,5
0.3,0.011238182443240978,5
0.31,0.011398765728957552,5
0.32,0.011559349014674125,5
0.33,0.011719932300390697,5
0.34,0.012020177466020519,5
0.35000000000000003,0.012390253571606964,5
0.36,0.012760329677193406,5
0.37,0.013130405782779853,5
0.38,0.013500481888366299,5
0.39,0.013870557993952745,5
0.4,0.014240634099539188,5
0.41000000000000003,0.014501782484258348,5
0.42,0.014762930868977509,5
0.43,0.01502407925369667,5
0.44,0.015285227638415829,5
0.45,0.015546376023134991,5
0.46,0.015807524407854153,5
0.47000000000000003,0.016042153742244665,5
0.48,0.016223744975977884,5
0.49,0.016405336209711102,5
0.5,0.016586927443444324,5
0.51,0.016768518677177543,5
0.52,0.01695010991091076,5
0.53,0.01713170114464398,5
0.54,0.01728056781118161,5
0.55,0.017413072194121446,5
0.56,0.017545576577061284,5
0.5700000000000001,0.017678080960001123,5
0.58,0.017810585342940957,5
0.59,0.017943089725880792,5
0.6,0.01807559410882063,5
0.61,0.01818552535696879,5
0.62,0.018295456605116944,5
0.63,0.018405387853265103,5
0.64,0.01851531910141326,5
0.65,0.018625250349561417,5
0.66,0.018735181597709576,5
0.67,0.01882664001834737,5
0.68,0.018881152783964437,5
0.6900000000000001,0.018935665549581506,5
0.7000000000000001,0.018990178315198572,5
0.71,0.01904469108081564,5
0.72,0.01909920384643271,5
0.73,0.019153716612049777,5
0.74,0.019229853012910303,5
0.75,0.019316801231392552,5
0.76,0.019403749449874802,5
0.77,0.019490697668357055,5
0.78,0.019577645886839305,5
0.79,0.019664594105321558,5
0.8,0.019751542323803807,5
0.81,0.019865230810899994,5
0.8200000000000001,0.01997891929799618,5
0.8300000000000001,0.020092607785092368,5
0.84,0.020206296272188555,5
0.85,0.02031998475928474,5
0.86,0.020433673246380925,5
0.87,0.02054410479373982,5
0.88,0.020648022461624133,5
0.89,0.020751940129508446,5
0.9,0.020855857797392754,5
0.91,0.020959775465277067,5
0.92,0.02106369313316138,5
0.93,0.02116761080104569,5
0.9400000000000001,0.02326281980182679,5
0.9500000000000001,0.0263536744690563,5
0.96,0.029444529136285775,5
0.97,0.03253538380351528,5
0.98,0.035626238470744795,5
0.99,0.03871709313797431,5
1.0,0.04180794780520382,5
0.0,0.009094159179099585,6
0.01,0.009435875314130905,6
0.02,0.009777591449162223,6
0.03,0.010119307584193543,6
0.04,0.010461023719224864,6
0.05,0.010802739854256182,6
0.06,0.011144455989287502,6
0.07,0.011475462202809063,6
0.08,0.011785048573311106,6
0.09,0.01209463494381315,6
0.1,0.012404221314315195,6
0.11,0.012713807684817238,6
0.12,0.013023394055319283,6
0.13,0.013332980425821327,6
0.14,0.013579897532153315,6
0.15,0.013795480006400273,6
0.16,0.014011062480647233,6
0.17,0.014226644954894193,6
0.18,0.014442227429141152,6
0.19,0.014657809903388112,6
0.2,0.014873392377635072,6
0.21,0.015243300240906199,6
0.22,0.015613208104177326,6
0.23,0.015983115967448454,6
0.24,0.01635302383071958,6
0.25,0.01672293169399071,6
0.26,0.017092839557261836,6
0.27,0.017429927150407303,6
0.28,0.017701374203301444,6
0.29,0.017972821256195586,6
0.3,0.01824426830908973,6
0.31,0.018515715361983875,6
0.32,0.018787162414878017,6
0.33,0.01905860946777216,6
0.34,0.019193774764632125,6
0.35000000000000003,0.019260799183475,6
0.36,0.019327823602317874,6
0.37,0.01939484802116075,6
0.38,0.019461872440003625,6
0.39,0.0195288968588465,6
0.4,0.019595921277689377,6
0.41000000000000003,0.019676535702328142,6
0.42,0.019757150126966903,6
0.43,0.019837764551605668,6
0.44,0.019918378976244433,6
0.45,0.019998993400883194,6
0.46,0.02007960782552196,6
0.47000000000000003,0.020172071512921778,6
0.48,0.020288233725843704,6
0.49,0.02040439593876563,6
0.5,0.020520558151687553,6
0.51,0.02063672036460948,6
0.52,0.020752882577531405,6
0.53,0.02086904479045333,6
0.54,0.020955870702821892,6
0.55,0.02102802846491377,6
0.56,0.02110018622700565,6
0.5700000000000001,0.02117234398909753,6
0.58,0.021244501751189405,6
0.59,0.021316659513281284,6
0.6,0.021388817275373163,6
0.61,0.0216016182500336,6
0.62,0.021814419224694036,6
0.63,0.02202722019935447,6
0.64,0.02224002117401491,6
0.65,0.022452822148675347,6
0.66,0.022665623123335782,6
0.67,0.02281102411064201,6
