cdf,prefill_e2e_time_normalized,replica
0.34,0.0001009281413464867,2
0.35000000000000003,0.00010331451891424327,2
0.36,0.00010570089648199986,2
0.37,0.00010808727404975646,2
0.38,0.00011047365161751306,2
0.39,0.00011286002918526965,2
0.4,0.00011524640675302624,2
0.41000000000000003,0.0001184364172456961,2
0.42,0.00012162642773836598,2
0.43,0.00012481643823103586,2
0.44,0.00012800644872370574,2
0.45,0.00013119645921637563,2
0.46,0.00013438646970904551,2
0.47000000000000003,0.000136561231775023,2
0.48,0.0001367054969876158,2
0.49,0.00013684976220020855,2
0.5,0.00013699402741280134,2
0.51,0.00013713829262539413,2
0.52,0.0001372825578379869,2
0.53,0.00013742682305057968,2
0.54,0.00014430135477866123,2
0.55,0.00015454101976448693,2
0.56,0.00016478068475031272,2
0.5700000000000001,0.00017502034973613856,2
0.58,0.00018526001472196423,2
0.59,0.00019549967970779005,2
0.6,0.00020573934469361586,2
0.61,0.0002883361720721029,2
0.62,0.00037093299945059003,2
0.63,0.0004535298268290761,2
0.64,0.0005361266542075633,2
0.65,0.0006187234815860504,2
0.66,0.0007013203089645374,2
0.67,0.000756462780167171,2
0.68,0.0007566965390180983,2
0.6900000000000001,0.0007569302978690257,2
0.7000000000000001,0.000757164056719953,2
0.71,0.0007573978155708804,2
0.72,0.0007576315744218078,2
0.73,0.0007578653332727352,2
0.74,0.0007650154495061002,2
0.75,0.000775623744430684,2
0.76,0.0007862320393552678,2
0.77,0.0007968403342798518,2
0.78,0.0008074486292044356,2
0.79,0.0008180569241290195,2
0.8,0.0008286652190536032,2
0.81,0.0008677043873754693,2
0.8200000000000001,0.0009067435556973352,2
0.8300000000000001,0.0009457827240192013,2
0.84,0.0009848218923410674,2
0.85,0.0010238610606629337,2
0.86,0.0010629002289848,2
0.87,0.001099851887719683,2
0.88,0.0011326285272805993,2
0.89,0.001165405166841516,2
0.9,0.001198181806402433,2
0.91,0.00123095844596335,2
0.92,0.0012637350855242667,2
0.93,0.0012965117250851835,2
0.9400000000000001,0.001468496230645096,2
0.9500000000000001,0.0017100846692045084,2
0.96,0.0019516731077639177,2
0.97,0.00219326154632333,2
0.98,0.0024348499848827424,2
0.99,0.0026764384234421543,2
1.0,0.0029180268620015667,2
0.0,4.30255993776906e-05,3
0.01,5.2903137471249585e-05,3
0.02,6.278067556480857e-05,3
0.03,7.265821365836754e-05,3
0.04,8.253575175192652e-05,3
0.05,9.24132898454855e-05,3
0.06,0.00010229082793904447,3
