time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.0015370000000000062,0.0015362000000000025,0.0015360000000000013,4.000000000019613e-07,0.014367999999999968,0.014496999999999986,0.014431999999999973,0.014462999999999965,5.366935811056874e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1280,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.001568000000000012,0.0015424000000000034,0.0015360000000000013,1.2800000000004302e-05,0.014366999999999991,0.014497000000000015,0.014432200000000011,0.014432000000000016,4.596259348645329e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1344,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015039999999999908,0.0015360000000000013,0.0015168000000000009,0.0015040000000000192,1.5676734353812863e-05,0.016735999999999963,0.016960000000000038,0.016819199999999996,0.01679999999999998,7.733149423103213e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1408,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.001502999999999986,0.0015360000000000013,0.0015101999999999976,0.0015039999999999908,1.2905812643923373e-05,0.016864000000000004,0.017216000000000037,0.016972600000000004,0.01689599999999996,0.00012907610158354043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1472,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.001535999999999973,0.0015679999999999837,0.001542399999999992,0.0015360000000000013,1.279999999999578e-05,0.016991000000000013,0.017503999999999964,0.01724760000000001,0.017279000000000024,0.0001660477039889318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1536,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.001535999999999973,0.001568000000000012,0.0015487999999999943,0.0015360000000000013,1.5676734353826887e-05,0.017055999999999925,0.01807899999999998,0.01734359999999996,0.017247999999999993,0.0003793555588099471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1600,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015039999999999908,0.0015369999999999778,0.0015297999999999887,0.0015360000000000013,1.2905812643920203e-05,0.017217000000000014,0.018336000000000043,0.01765740000000001,0.017344000000000023,0.00044795205100546135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1664,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.001568000000000012,0.0015551999999999964,0.0015679999999999837,1.567673435380833e-05,0.01721599999999998,0.018463999999999998,0.01750400000000001,0.01728000000000003,0.00048106548410792923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1728,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015039999999999908,0.0015360000000000013,0.0015295999999999934,0.0015360000000000013,1.2800000000001373e-05,0.017055999999999984,0.01731200000000001,0.017183999999999998,0.017183999999999998,9.05096679918842e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1792,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.0015689999999999884,0.0015490000000000007,0.0015360000000000013,1.5924823389914816e-05,0.01699000000000001,0.01817599999999996,0.0173116,0.01715100000000001,0.0004376092320780965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1856,True,AttentionBackend.FLASHINFER
