cdf,prefill_time_execution_plus_preemption_normalized,replica
0.3,4.8218582524397844e-05,5
0.31,4.901550494894855e-05,5
0.32,4.981242737349925e-05,5
0.33,5.060934979804996e-05,5
0.34,5.132694906719632e-05,5
0.35000000000000003,5.200488675864051e-05,5
0.36,5.26828244500847e-05,5
0.37,5.3360762141528894e-05,5
0.38,5.403869983297309e-05,5
0.39,5.471663752441728e-05,5
0.4,5.5394575215861466e-05,5
0.41000000000000003,5.552874730708747e-05,5
0.42,5.566291939831347e-05,5
0.43,5.579709148953948e-05,5
0.44,5.593126358076549e-05,5
0.45,5.606543567199149e-05,5
0.46,5.6199607763217494e-05,5
0.47000000000000003,5.636665848864854e-05,5
0.48,5.659946648248968e-05,5
0.49,5.683227447633081e-05,5
0.5,5.706508247017195e-05,5
0.51,5.729789046401308e-05,5
0.52,5.7530698457854216e-05,5
0.53,5.7763506451695356e-05,5
0.54,5.7940719837256606e-05,5
0.55,5.809013591867792e-05,5
0.56,5.823955200009923e-05,5
0.5700000000000001,5.838896808152055e-05,5
0.58,5.853838416294186e-05,5
0.59,5.8687800244363175e-05,5
0.6,5.883721632578449e-05,5
0.61,5.900268594140782e-05,5
0.62,5.9168155557031164e-05,5
0.63,5.93336251726545e-05,5
0.64,5.949909478827784e-05,5
0.65,5.9664564403901175e-05,5
0.66,5.983003401952451e-05,5
0.67,5.995912205502017e-05,5
0.68,6.0015446930260454e-05,5
0.6900000000000001,6.007177180550074e-05,5
0.7000000000000001,6.012809668074103e-05,5
0.71,6.018442155598131e-05,5
0.72,6.02407464312216e-05,5
0.73,6.0297071306461883e-05,5
0.74,6.035932769784358e-05,5
0.75,6.042454984729597e-05,5
0.76,6.0489771996748364e-05,5
0.77,6.055499414620076e-05,5
0.78,6.0620216295653154e-05,5
0.79,6.068543844510555e-05,5
0.8,6.075066059455794e-05,5
0.81,6.0834262369196255e-05,5
0.8200000000000001,6.0917864143834566e-05,5
0.8300000000000001,6.100146591847288e-05,5
0.84,6.108506769311118e-05,5
0.85,6.11686694677495e-05,5
0.86,6.12522712423878e-05,5
0.87,6.144569812948661e-05,5
0.88,6.18587752415064e-05,5
0.89,6.227185235352618e-05,5
0.9,6.268492946554598e-05,5
0.91,6.309800657756576e-05,5
0.92,6.351108368958554e-05,5
0.93,6.392416080160533e-05,5
0.9400000000000001,6.471542927326513e-05,5
0.9500000000000001,6.569579342474495e-05,5
0.96,6.667615757622476e-05,5
0.97,6.765652172770457e-05,5
0.98,6.863688587918439e-05,5
0.99,6.96172500306642e-05,5
1.0,7.059761418214403e-05,5
0.0,3.266167605732525e-05,6
0.01,3.4382368516731965e-05,6
0.02,3.6103060976138685e-05,6
0.03,3.78237534355454e-05,6
0.04,3.954444589495212e-05,6
0.05,4.126513835435883e-05,6
0.06,4.2985830813765545e-05,6
0.07,4.428319060262505e-05,6
0.08,4.4733885050390133e-05,6
0.09,4.518457949815521e-05,6
0.1,4.563527394592029e-05,6
0.11,4.6085968393685374e-05,6
0.12,4.653666284145045e-05,6
0.13,4.6987357289215536e-05,6
